Reference Voltage,Reference Voltage std,Unknown Voltage,Unknown Voltage std,Current,Resistance
0.009969888349296525,1.2604262926022071e-05,0.9899228658600477,1.3624735031584313e-05,9.969888349296525e-05,9929.12689869688
0.011941289709880948,1.1986874428742781e-05,1.1880967380616347,1.432123805857349e-05,0.00011941289709880948,9949.484242715687
0.013932164906756953,1.1833787312865054e-05,1.3864049797336337,1.404171991019647e-05,0.00013932164906756952,9951.10945795109
0.01591882077243645,1.159538646611139e-05,1.5846385716998483,1.3974767265236812e-05,0.00015918820772436448,9954.497222832368
0.017870099168852904,1.2260320328475336e-05,1.7833103249826237,1.4518972344845684e-05,0.00017870099168852904,9979.297306256056
0.019833710994920692,1.1841647337437437e-05,1.9812690112931888,1.4430971442639054e-05,0.00019833710994920692,9989.401437787317
0.021779147240449673,1.1937067210021566e-05,2.179334479139419,1.401157788961615e-05,0.00021779147240449674,10006.518873667444
0.02377326807670761,1.0548630404725849e-05,2.3775891677616166,1.3838891193275247e-05,0.0002377326807670761,10001.103592867456
0.025731037751887925,1.213379957594054e-05,2.5758688478070546,1.3423056230415206e-05,0.00025731037751887924,10010.746059466876
0.0276952987058321,1.2141069818881944e-05,2.7740362287298774,1.407238993385713e-05,0.000276952987058321,10016.271202540662
0.029671893089427612,1.155741943502635e-05,2.9721403196847533,1.5470317623926925e-05,0.0002967189308942761,10016.685860679905
0.031634531223680824,1.1512255765167948e-05,3.170290174154914,1.5246223004550738e-05,0.00031634531223680823,10021.61262241722
0.03365104697167408,1.2190524094397304e-05,3.3681505175922064,1.2947315029489869e-05,0.0003365104697167408,10009.051190672795
0.03556824615458026,1.2175314451426e-05,3.566215660874499,1.3942402539669972e-05,0.0003556824615458026,10026.402891432035
0.037525691265822385,1.1732756231428468e-05,3.7644268579289784,1.4555759133942718e-05,0.00037525691265822387,10031.598968458016
0.03949125047551934,1.189408633276739e-05,3.9628123458182674,1.4030499942291212e-05,0.0003949125047551934,10034.659065239826
0.0414701168066822,1.1770771971889464e-05,4.161084560893126,1.4372866533002246e-05,0.00041470116806682203,10033.934990563226
0.04340451787831262,1.2761738994994386e-05,4.359166581500205,1.5133511974984757e-05,0.0004340451787831262,10043.117155963837
0.045333076799055565,1.1960692924571994e-05,4.557382971577695,1.3279645507230362e-05,0.00045333076799055564,10053.107561568908
0.04728597801516298,1.1773134634133205e-05,4.755266034490662,1.3747044091373699e-05,0.00047285978015162983,10056.397761225984
0.04926808998570777,1.1428977558340159e-05,4.9532045978370585,1.3891556331356067e-05,0.0004926808998570777,10053.575446651044
0.051161271437187676,1.1535662655759861e-05,5.15135445230722,1.478168829656272e-05,0.0005116127143718768,10068.855420514132
0.053109628758160395,1.1936311157821587e-05,5.349508201544639,1.372991099699921e-05,0.0005310962875816039,10072.576906730264
0.055078109043301085,1.1930097335843271e-05,5.547421773467795,1.3857851001875266e-05,0.0005507810904330109,10071.917627212919
0.05704366825299803,1.1917491691245942e-05,5.745364880709327,1.5178947163027943e-05,0.0005704366825299804,10071.871351659382
0.059010850282385945,1.2041836843998371e-05,5.94323041716963,1.57339603633079e-05,0.0005901085028238595,10071.419728286164
0.06100269917107653,1.140343584564418e-05,6.141555536166416,1.3204143043119836e-05,0.0006100269917107653,10067.678348039946
0.06292768788849935,1.1358589192378717e-05,6.339558363172575,1.3720740237937405e-05,0.0006292768788849935,10074.354510538422
0.06496887049579528,1.2196860535480693e-05,6.537655638284749,1.530580194164624e-05,0.0006496887049579527,10062.750958103636
0.06691560499707702,1.1961341542241266e-05,6.735888905687025,1.42799635004855e-05,0.0006691560499707702,10066.245244261423
0.06888311159040313,1.2002322869987515e-05,6.933920294319745,1.3858951588590752e-05,0.0006888311159040313,10066.212362110811
0.07087658329878468,1.1340765615723234e-05,7.132276246890658,1.5738830048864126e-05,0.0007087658329878469,10062.95156303472
0.07286323916446417,1.1490670679599338e-05,7.330121660386794,1.4439745959610256e-05,0.0007286323916446417,10060.10952085388
0.07480575433454942,1.2393182298845598e-05,7.528125461084768,1.3426614011118655e-05,0.0007480575433454941,10063.564665650147
0.07678981368872337,1.195963388134965e-05,7.726304526309367,1.3923413828613914e-05,0.0007678981368872337,10061.626868413641
0.07873946926544886,1.1717596473867265e-05,7.924499495166936,1.4666962073900006e-05,0.0007873946926544886,10064.202323299418
0.08076377454795874,1.1522794978973685e-05,8.122757753992452,1.4030443518983556e-05,0.0008076377454795874,10057.427106962463
0.08274491282668896,1.2403624002201134e-05,8.320688203240396,1.3880439312706013e-05,0.0008274491282668896,10055.830526606826
0.08467509456712287,1.147238987223513e-05,8.519142498684582,1.4616906835546456e-05,0.0008467509456712287,10060.977837977334
0.08665233807859477,1.1964165046090656e-05,8.716730857541668,1.4462447208947642e-05,0.0008665233807859476,10059.429498180976
