Reference Voltage,Reference Voltage std,Unknown Voltage,Unknown Voltage std,Current,Resistance
0.010009809713694267,1.2094206412898661e-05,0.9899507783587324,1.3948257191575226e-05,0.00010009809713694267,9889.806166888426
0.01193609668686986,1.1429513206958404e-05,1.1881412033211673,1.4124673932827276e-05,0.0001193609668686986,9954.185480318418
0.013956182638183236,1.1813165048431513e-05,1.3864838487706148,1.406680830745334e-05,0.00013956182638183236,9934.549329967082
0.015906487342785113,1.0934229887350134e-05,1.5847021862317343,1.4272569918390817e-05,0.00015906487342785114,9962.615579928937
0.017894116900279186,1.2480869742001883e-05,1.7833372637894935,1.5255749821789452e-05,0.00017894116900279186,9966.053500866923
0.019826246024342253,1.1920170620616886e-05,1.9813579418122536,1.3568374211820891e-05,0.00019826246024342252,9993.61119285811
0.02179375261766836,1.2164906715272655e-05,2.1794795592197915,1.4130949802775489e-05,0.0002179375261766836,10000.478565829324
0.023794040168751963,1.0474483300127552e-05,2.3777251600517193,1.4339044845323792e-05,0.00023794040168751963,9992.94421287192
0.025729739496135152,1.1767395276505594e-05,2.5759350588504457,1.3359904988439489e-05,0.0002572973949613515,10011.50850842223
0.027691079374635594,1.1862224535121164e-05,2.774079071169719,1.4173853629709128e-05,0.0002769107937463559,10017.952112443523
0.02965663858433254,1.202055292550445e-05,2.972137074045371,1.5089062755808978e-05,0.0002965663858433254,10021.827206052736
0.03166958412900567,1.1600014415730343e-05,3.170295691741863,1.514206411268174e-05,0.0003166958412900567,10010.537804436275
0.033631248571444304,1.2410651132428584e-05,3.368211860176525,1.3160905128599922e-05,0.000336312485714443,10015.125822704109
0.035575711125158706,1.2049964104866958e-05,3.5662607752619078,1.3924717691530162e-05,0.00035575711125158705,10024.425830071157
0.03753315623640083,1.1839351840283692e-05,3.76443010356836,1.3574848952405524e-05,0.0003753315623640083,10029.612430828554
0.03949060134764295,1.1377488900726603e-05,3.9628314950906205,1.3868438145216867e-05,0.0003949060134764295,10034.872500940399
0.04149705561355222,1.1705699802429194e-05,4.161105332985171,1.467755169546307e-05,0.0004149705561355222,10027.471278290468
0.04340678982587997,1.1931512868143306e-05,4.359151002431172,1.4958916772843736e-05,0.0004340678982587997,10042.555599981646
0.04536650688468944,1.1368133503012414e-05,4.557411857768194,1.3252899820792924e-05,0.0004536650688468944,10045.763208862476
0.04732362743199337,1.1631378468516349e-05,4.755263437979156,1.4026395494939979e-05,0.0004732362743199337,10048.391672453108
0.04927458126447164,1.2316243620258819e-05,4.953282168618287,1.4136177566034257e-05,0.0004927458126447163,10052.408445710616
0.051171657483209856,1.1789369036515363e-05,5.151414496635786,1.4960006912317709e-05,0.0005117165748320985,10066.929136164952
0.05312845346657559,1.1910904720959756e-05,5.349534491223633,1.3437485935345323e-05,0.0005312845346657559,10069.05743000623
0.05507486340391915,1.1492613344240869e-05,5.547489607330878,1.4579307831301703e-05,0.0005507486340391915,10072.634346172734
0.05707158075168263,1.2146458815509522e-05,5.745372670243843,1.5005049477754228e-05,0.0005707158075168263,10066.959061887303
0.05899624490516726,1.1954279864980089e-05,5.943315777485375,1.5289776994891474e-05,0.0005899624490516726,10074.057742215424
0.061005295682582075,1.1591890388825222e-05,6.1415516413991575,1.3409964914687436e-05,0.0006100529568258208,10067.243462525603
0.06294002131815069,1.1389306723664514e-05,6.339564529887401,1.3467243439945924e-05,0.0006294002131815069,10072.390185319484
0.06497795828606467,1.1755369420981026e-05,6.537692963137641,1.4950362241465959e-05,0.0006497795828606468,10061.40102826181
0.06695942112873308,1.244386129926099e-05,6.735959660625551,1.4272998850779155e-05,0.0006695942112873309,10059.763879492486
0.06892108557117171,1.1933622584294468e-05,6.933986180799199,1.428077286520005e-05,0.0006892108557117172,10060.761700624667
0.07085775859036948,1.1611942098899563e-05,7.132238597473828,1.5062387025114443e-05,0.0007085775859036949,10065.571843311445
0.07287849366955924,1.1495625432492647e-05,7.330170020413585,1.3865652237625351e-05,0.0007287849366955924,10058.070153932584
0.07484307918744161,1.2299932286515313e-05,7.528129680415964,1.3561526680729726e-05,0.0007484307918744161,10058.551521593672
0.07681415598408785,1.1833087102881838e-05,7.726336982703185,1.454845855339202e-05,0.0007681415598408785,10058.48060649616
0.07878003975772299,1.1686590262718592e-05,7.924526109409868,1.4051729095104289e-05,0.0007878003975772299,10059.053198983704
0.08078844140726142,1.1418555119857354e-05,8.122713937860798,1.3631364971592132e-05,0.0008078844140726142,10054.302071398437
0.08273452678066678,1.2283014956360155e-05,8.320634001062718,1.4064346886887075e-05,0.0008273452678066678,10057.027367934454
0.08471728787908796,1.1511150880338121e-05,8.519093489529915,1.538949711515189e-05,0.0008471728787908796,10055.909133551018
0.08664325028832537,1.108425739916731e-05,8.716729234721978,1.4226777494405233e-05,0.0008664325028832537,10060.482733178931
