Reference Voltage,Reference Voltage std,Unknown Voltage,Unknown Voltage std,Current,Resistance
0.00996501989022363,1.2112624966268522e-05,0.989931629086379,1.3550068788353869e-05,9.96501989022363e-05,9934.065761951664
0.011931552791735158,1.1202796162958817e-05,1.188132440094836,1.4037543550466475e-05,0.00011931552791735158,9957.902888531333
0.01392015604104381,1.1305566345095454e-05,1.3863877778449096,1.500246408289846e-05,0.0001392015604104381,9959.570666859785
0.015903566267341376,1.166027765381771e-05,1.5845960538239452,1.3811065688972864e-05,0.00015903566267341375,9963.778106033853
0.017849976204684936,1.185376375435366e-05,1.7832804651003098,1.4316944177326128e-05,0.00017849976204684936,9990.38006914691
0.019810017827432604,1.1493242458373594e-05,1.9813196432675468,1.3849104132627177e-05,0.00019810017827432604,10001.604544362632
0.021792129797977396,1.1731928532007847e-05,2.1793867339334683,1.421777874552674e-05,0.00021792129797977396,10000.797325168945
0.023744057322270237,1.0833563963028627e-05,2.3776459664508,1.390119907559386e-05,0.00023744057322270238,10013.64650607012
0.025712862171349115,1.2390047645932521e-05,2.5758487248428863,1.4303519796433203e-05,0.00025712862171349115,10017.744067842663
0.02768523722374812,1.1463079698208121e-05,2.774006368847564,1.4101163199180548e-05,0.0002768523722374812,10019.803501875176
0.029656963148270734,1.1543711957050846e-05,2.9721341529699274,1.5601806231216755e-05,0.0002965696314827073,10021.707678263172
0.03160337308561429,1.128175691647804e-05,3.170243112383876,1.4857390204939707e-05,0.0003160337308561429,10031.344134677054
0.03361112560727633,1.2872733280203911e-05,3.368141105237999,1.3002175064621293e-05,0.0003361112560727633,10020.911363078076
0.03555558816099074,1.2161431150921263e-05,3.5662688893603627,1.389483842594691e-05,0.0003555558816099074,10030.122053424613
0.037498427895014175,1.1450803381812416e-05,3.764406085836934,1.4424463887304574e-05,0.00037498427895014177,10038.837085054045
0.03948735570826102,1.1126078657384784e-05,3.962792222854099,1.3766697788068976e-05,0.0003948735570826102,10035.59785601206
0.04142175677989144,1.2252983011126682e-05,4.161059244905948,1.3852731553534129e-05,0.0004142175677989144,10045.588522517643
0.043348368317005226,1.1736893852977142e-05,4.359215590654872,1.4672836948519586e-05,0.00043348368317005224,10056.239161705163
0.045334050490870144,1.1669611402579316e-05,4.557372585531674,1.3745028412355545e-05,0.00045334050490870143,10052.868729321874
0.04728403063153382,1.113961780960594e-05,4.755301087395987,1.366683380903522e-05,0.00047284030631533825,10056.886064667815
0.049278476031729954,1.151810392866558e-05,4.953234133155434,1.4765827260505316e-05,0.0004927847603172996,10051.516467282983
0.05115510472236201,1.2382927845358594e-05,5.151407031665207,1.4309274644678305e-05,0.0005115510472236202,10070.17199871612
0.05308755841036327,1.211829227660068e-05,5.349520210410352,1.3305214936527783e-05,0.0005308755841036327,10076.78704878254
0.05506155628245324,1.152325298700214e-05,5.547441571868025,1.4569748027335876e-05,0.0005506155628245324,10074.981432437024
0.05702841374790296,1.1938946079754702e-05,5.745327231292497,1.4916293193746309e-05,0.0005702841374790296,10074.499453360235
0.058995920341229066,1.1710049797855946e-05,5.943267417458585,1.588170107399423e-05,0.0005899592034122906,10074.031192467313
0.06096083042304963,1.1950539900401409e-05,6.141528597359546,1.3616276400976925e-05,0.0006096083042304964,10074.54877950186
0.06291957379004452,1.1589376931853604e-05,6.33951974006393,1.4438097488514975e-05,0.0006291957379004452,10075.592312843994
0.06495556337432935,1.2120330292037543e-05,6.537642006599344,1.510645707412427e-05,0.0006495556337432935,10064.791477404138
0.06690456982317847,1.2311010397441496e-05,6.735870405542548,1.3445809759640288e-05,0.0006690456982317846,10067.877909303841
0.06887207641650457,1.2214260157195542e-05,6.933915101296734,1.420771195343261e-05,0.0006887207641650457,10067.817702146533
0.07085613577067852,1.1700978340951754e-05,7.1322726766873386,1.581083752189016e-05,0.0007085613577067852,10065.850471680385
0.0728570724496385,1.211168378795817e-05,7.330187546866248,1.3363621756013834e-05,0.000728570724496385,10061.05145376675
0.0747973156721564,1.2682117656255164e-05,7.528133575183223,1.3290609857620873e-05,0.000747973156721564,10064.710889064167
0.07677326092787552,1.185721822680045e-05,7.726307771948748,1.4093552243112287e-05,0.0007677326092787552,10063.800441155172
0.07872940778336487,1.1495354560513798e-05,7.924453407087713,1.4467496821409322e-05,0.0007872940778336487,10065.429971089037
0.08075858152494766,1.1411527542153793e-05,8.122746718818554,1.3181024397267772e-05,0.0008075858152494766,10058.06016579093
0.08270304407866207,1.1900758002211816e-05,8.32062458870851,1.377911313901489e-05,0.0008270304407866206,10060.844411959544
0.08466600677685346,1.1603721813984376e-05,8.519091217582346,1.4684960605687148e-05,0.0008466600677685345,10061.997183870199
0.08662247819628101,1.1361446359615685e-05,8.716703269606922,1.3783314197406882e-05,0.0008662247819628101,10062.865264435668
